Course code,Course title
AFM470 , Financial Management of High Growth Companies 
AFM477 , Mergers and Acquisitions 
AFM478 , International Financial Management 
AFM479 , Cases and Ap plications in Finance 2 
AFM480 , Introduction to Organizational Behaviour 
AFM482 , Performance Measurement and Organization Control 
AFM483 , Ap plications of Analy tics to Business 
AFM485 , Ap proaches to Measuring  Value 
AFM491 , Advanced Financial Accounting 
  , 
ACTSC127 , Introduction to Global Capital Markets and Financial Analy tics 
ACTSC221 , Introductory Financial Mathematics (Non Specialist Level)
ACTSC231 , Introductory Financial Mathematics 
ACTSC232 , Life Contingencies 1 
ACTSC291 , Global Capital Markets and Financial Analy tics 
ACTSC331 , Life Contingencies 2 
ACTSC362 , Introduction to Property and Casualty Practice 
ACTSC363 , Casualty and Health Insurance Mathematics 1 
ACTSC372 , Investment Science and Corporate Finance 
ACTSC391 , Corporate Finance 
ACTSC423 , Topics in Financial Econometrics 
ACTSC431 , Casualty and Health Insurance Mathematics 2 
ACTSC432 , Credibility and Risk Theory 
ACTSC445 , Quantitative Enterprise Risk Management 
ACTSC446 , Mathematics of Financial Markets 
ACTSC447 , Numerical Computation for Financial Modelling 
ACTSC453 , Basic Pension Mathematics 
ACTSC454 , Longevity and Mortality Using  Predictive Analy tics 
ACTSC455 , Life Contingencies 3 
ACTSC468 , Readings in Actuarial Science 1 
ACTSC469 , Readings in Actuarial Science 2 
ACTSC489 , Advanced Topics in Actuarial Science 
ASL101R , American Sign Language 1 
ASL102R , American Sign Language 2 
ASL201R , American Sign Language 3 
ASL202R , American Sign Language 4 
ANTH100 , Introduction to Anthropology 
ANTH105 , Prehistoric Peoples and Places 
ANTH106 , Technologies of Being  Human 
ANTH201 , Introduction to Archaeology 
ANTH202 , Social and Cultural Anthropology 
ANTH204 , Biological Anthropology 
ANTH221 , Language and Society 
ANTH222 , Anthropologies of the Body 
ANTH233 , Inuit Cultures 
ANTH241 , Food as Culture 
ANTH245 , Anthropology of Education 
ANTH251 , Doing  Ethnography 
ANTH272 , Issues in Contemporary Indigenous Communities in Canada 
ANTH289 , Special Topics in Anthropology 
ANTH290 , Visual Anthropology 
ANTH292 ," Skeletons: Sex, Disease, and Death "
ANTH300 , Practicing  Anthropology 
ANTH303 , Anthropology of Digital Media 
ANTH305 , Paleopathology of Health and Disease 
ANTH309 , The Archaeology of North America 
ANTH311 , Anthropology of Religion 
ANTH312 , Muslim Lives and Practices Worldwide 
ANTH320 , Hunter Gatherer Archaeology
ANTH321 , Archaeology of Complex Cultures 
ANTH322 , The Archaeology of the Great Lakes Area 
ANTH330 , Environmental Anthropology 
ANTH331 , Anthropology of Childhood 
ANTH335 , Arctic Archaeology 
ANTH345 , Directed Research in Anthropology 
ANTH347 , Medical Anthropology 
ANTH348 , Anthropology of Tourism 
ANTH350 , Anthropology of Gender 
ANTH355 , Human Osteology 
ANTH365 , Human Evolution 
ANTH371 , Anthropological Field Experience 
ANTH372 , Archaeological Field School 
ANTH377 , Dental Anthropology 
ANTH381 , Anthropology of South Asia 
ANTH382 , Anthropology of East Asia 
ANTH389 , Special Topics in Anthropology 
ANTH391 , Reading in Anthropology 
ANTH395 , Anthropological Study Abroad 
ANTH415 , Archaeologies of Landscape 
ANTH430 , Science as Practice and Culture 
ANTH440 , Archaeological Analysis and Interpretation 
ANTH447 , Global Health and Medical Anthropology 
ANTH455 , Skeletal Biology and Forensics 
ANTH465 ," Borders, Boundaries, and Crossings "
ANTH489 , Special Topics in Anthropology 
ANTH498 , Anthropology Capstone 
ANTH499A , Honours Essay 
ANTH499B , Honours Essay 
APPLS205R , Second Language Acquisition 
APPLS291 , Introductory Special Topics in Ap plied Language Studies 
APPLS301 ," Language, Culture, and Identity "
APPLS304R , Language Teaching Methodology 
APPLS306R , Language Assessment and Testing 
APPLS383R , Phonetics 
APPLS391 , Intermediate Special Topics in Ap plied Language Studies 
APPLS491 , Advanced Special Topics in Ap plied Language Studies 
AMATH231 , Calculus 4 
AMATH242 , Introduction to Computational Mathematics 
AMATH250 , Introduction to Differential Equations 
AMATH251 , Introduction to Differential Equations (Advanced Level) 
AMATH271 , Introduction to Theoretical Mechanics 
AMATH331 , Ap plied Real Analysis 
AMATH332 , Ap plied Complex Analysis 
AMATH333 , Calculus on Manifolds for Ap plied Mathematics and Physics 
AMATH342 , Computational Methods for Differential Equations 
AMATH343 , Discrete Models in Ap plied Mathematics 
AMATH345 , Data Driven Mathematical Models
AMATH350 , Differential Equations for Business and Economics 
AMATH351 , Ordinary Differential Equations 
AMATH353 , Partial Differential Equations 1 
AMATH361 , Continuum Mechanics 
AMATH362 , Mathematics of Climate Change 
AMATH373 , Quantum Theory 1 
AMATH382 , Computational Modelling  of Cellular Systems 
AMATH383 , Introduction to Mathematical Biology 
AMATH390 , Mathematics and Music 
AMATH391 , Data Analysis with Fourier and Wavelet Methods 
AMATH442 , Computational Methods for Partial Differential Equations 
AMATH445 , Scientific Machine Learning 
AMATH449 , Neural Networks 
AMATH451 , Introduction to Dynamical Systems 
AMATH453 , Partial Differential Equations 2 
AMATH455 , Control Theory 
AMATH456 , Calculus of Variations 
AMATH463 , Fluid Mechanics 
AMATH473 , Quantum Theory 2 
AMATH474 , Quantum Theory 3: Quantum Information and Foundations 
AMATH475 , Introduction to General Relativity 
AMATH477 , Stochastic Processes for Ap plied Mathematics 
AMATH495 , Reading  Course 
AMATH499 , Research Project 
ARABIC101R , Introduction to Arabic 1 
ARABIC102R , Introduction to Arabic 2 
ARABIC120R , Literary Arabic for Heritage Speakers 
ARABIC201R , Intermediate Arabic 1 
ARABIC202R , Intermediate Arabic 2 
ARABIC301R , Advanced Arabic 1 
ARABIC302R , Advanced Arabic 2 
ARABIC410R , English Arabic Translation
AE100 , Concepts Studio 
AE101 , History of the Built Environment 
AE104 , Mechanics 1 
AE105 , Mechanics 2 
AE115 , Linear Algebra 
AE121 , Computational Methods 
AE123 , Electrical Circuits and Instrumentation 
AE125 , Structural Design Studio 
AE199 , Seminar 
AE200 , Enclosure Design Studio 
AE204 , Solid Mechanics 1 
AE205 , Solid Mechanics 2 
AE221 , Advanced Calculus 
AE223 , Differential Equations and Balance Laws 
AE224 , Probability and Statistics 
AE225 , Environmental Building  Systems Studio 
AE265 , Structure and Properties of Materials 
AE279 , Energy and the Environment 
AE280 , Fluid Mechanics and Thermal Sciences 
AE298 , Seminar 
AE299 , Seminar 
AE300 , Architectural Engineering Studio 1 
AE301 , Building Enclosure Systems 
AE303 , Structural Analysis 
AE310 , Introduction to Structural Design 
AE315 , Building Structural Systems 
AE325 , Architectural Engineering Studio 2 
AE353 , Soil Mechanics and Foundations 
AE377 , Structural Timber Design 
AE392 , Economics and Life Cycle Cost Analysis 
AE398 , Seminar 
AE399 , Seminar 
AE400 , Project Studio 1 
AE405 , Building  Performance Measurement Lab 
AE425 , Project Studio 2 
AE450 , Building  Service Systems 
AE491 , Engineering  Law and Ethics 
AE495 , Design Intensive Special Topics in Architectural Engineering 
AE497 , Special Topics in Architectural Engineering 
AE498 , Seminar 
AE499 , Seminar 
AE572 , Building Energy Analysis 
AE573 ," HVAC Systems, Equipment, and Energy E?ciency "
AE585 , Air Quality Engineering and Impacts 
ARCH110 , Visual and Digital Media 1 
ARCH113 , Visual and Digital Media 2 
ARCH120 , An Introduction to Architectural Ideas and Communications 
ARCH126 , Environmental Building  Design 
ARCH142 , Introduction to Cultural History 
ARCH143 ," Settlements, Sanctuaries, and Cities "
ARCH172 , Building  Construction 1 
ARCH173 , Building  Construction 2 
ARCH192 , Design Studio 
ARCH193 , Design Studio 
ARCH212 , Digital Fabrication 
ARCH225 , Theory and Design of the Contemporary Landscape 
ARCH243 , Indigenous Practices 
ARCH246 , Cultural Encounters 600 1600
ARCH248 , Cultural Encounters 1600 1914
ARCH260 , Principles of Structures 
ARCH276 ," Timber: Design, Structure and Construction "
ARCH292 , Design Studio 
ARCH293 , Design Studio 
ARCH327 , Architecture of the Urban Environment 
ARCH332 , Design/Build Workshop 
ARCH342 , Modernisms: Local and Global 
ARCH346 , Competitions in Architecture 
ARCH362 ," Steel and Concrete: Design, Structure and Construction "
ARCH364 , Building Science 
ARCH392 , Design Studio 
ARCH393 , Option Design Studio 
ARCH428 , Rome and the Campagna (Rome) 
ARCH429 , Global Cities 
ARCH442 , Contemporary Architectural Theory 
ARCH446 , Italian Urban History (Rome) 
ARCH449 , The Development of Modern Italian Architecture (Rome) 
ARCH463 , Integrated Environmental Systems 
ARCH473 , Technical Report 
ARCH484 , Architectural Research 
ARCH485 , Architectural Research 
ARCH492 , Design Studio 
ARCH493 , Design Studio/Comprehensive Building  Design 
ARCH510 , Special Topics in Visual and Digital Media 
ARCH520 , Special Topics in Urbanism and Landscape 
ARCH540 , Special Topics in Architectural History and Theory 
ARCH570 , Special Topics in Building Technology and Environmental 
ARCH580 ," Special Topics in Race, Equity, and Environmental Justice "
ARTS111 , Career Development and Decision Making
ARTS122 , Quest for Meaning  in the Modern World 
ARTS130 , Inquiry and Communication 
ARTS140 , Information and Analysis 
ARTS160 , Inquiry and Knowledge Creation 
ARTS160E , Inquiry and Knowledge Creation 
ARTS190 , First Year Topics in Arts Disciplines
ARTS280 , Statistics for Arts Students 
ARTS290 , Second Year Topics in Arts Disciplines
ARTS301 , Studies in Ideas 
ARTS365 , Arts Study Abroad 
ARTS366 , Arts Study Abroad 
ARTS367 , Arts Study Abroad 
ARTS390 , Third Year Topics in Arts Disciplines
ARTS450 , Global Engagement Seminar 
ARTS490 , Fourth Year Topics in Arts Disciplines
ARBUS101 , Introduction to Business in North America 
ARBUS102 , Accounting  Information for Managers 
ARBUS200 , Entrepreneurship Principles and Practices 
ARBUS202 , Professional and Business Ethics 
ARBUS300 , Practical Business Skills 
ARBUS301 , International Business 
ARBUS302 , Principles of Marketing 
ARBUS303 , Marketing  Strategy 
ARBUS400 , Strategy and Program Integration 
AVIA100 , Introduction to Aviation 
AVIA101 , Professional Pilot Progr am Course 1 
AVIA102 , Professional Pilot Progr am Course 2 
AVIA121 , Professional Pilot Progr am Course 1 
AVIA141 , Preparatory Ground Instruction 1 
AVIA142 , Preparatory Ground Instruction 2 
AVIA203 , Professional Pilot Program Course 3 
AVIA204 , Professional Pilot Program Course 4 
AVIA205 , Professional Pilot Program Course 5 
AVIA222 , Professional Pilot Program Course 2 
AVIA223 , Professional Pilot Program Course 3 
AVIA243 , Preparatory Ground Instruction 3 
AVIA244 , Preparatory Ground Instruction 4 
AVIA245 , Preparatory Ground Instruction 5 
AVIA270 , Remotely Piloted Aircraft Systems (RPAS) Knowledge Requirements 
AVIA306 , Professional Pilot Program Course 6 
AVIA307 , Professional Pilot Program Course 7 
AVIA310 , Human Factors in Aviation 
AVIA324 , Professional Pilot Program Course 4 
AVIA325 , Professional Pilot Program Course 5 
AVIA346 , Preparatory Ground Instruction 6 
AVIA347 , Preparatory Ground Instruction 7 
AVIA374 , Special Topics in Aviation 
AVIA408 , Professional Pilot Program Course 8 
AVIA416 , Aviation Sustainability 
AVIA417 , Aviation Safety 
AVIA426 , Professional Pilot Program Course 6 
AVIA474 , Special Topics in Aviation 
AVIA475 , Independent Studies of Selected Topics 
BIOL110 ," Biodiversity, Biomes, and Evolution "
BIOL130 , Introductory Cell Biology 
BIOL130L , Cell Biology Laboratory 
BIOL150 , Organismal and Evolutionary Ecology 
BIOL165 , Diversity of Life 
BIOL201 , Human Anatomy 
BIOL211 , Introductory Vertebrate Zoology 
BIOL220 , Introduction to Plant Structure and Function 
BIOL225 , Plants and Civilization 
BIOL231 , Cell Biology 
BIOL235 , Foundations of Molecular Biology 
BIOL239 , Genetics 
BIOL240 , Fundamentals of Microbiology 
BIOL240L , Microbiology Laboratory 
BIOL241 , Introduction to Ap plied Microbiology 
BIOL251 , Fundamentals of Ecology 
BIOL266 , Introduction to Computational Biology 
BIOL273 , Principles of Human Physiology 1 
BIOL280 , Introduction to Biophysics 
BIOL302 , Functional Histology 
BIOL303 , Introductory Developmental Biology and Embryology 
BIOL308 , Principles of Molecular Biology 
BIOL310 , Invertebrate Zoology 
BIOL312 , The Natural History of Aquatic Organisms 
BIOL323 , Plant Physiology 
BIOL325 , Flowering Plants 
BIOL331 , Advanced Cell Biology 
BIOL335L , Molecular Biology Techniques 
BIOL341 , Fundamentals of Immunology 
BIOL342 , Molecular Biotechnology 1 
BIOL345 , Microorganisms in Foods 
BIOL346 , Microbial Ecology and Diversity 
BIOL348L , Laboratory Methods in Microbiology 
BIOL349 , Synthetic Biology Project Design 
BIOL350 , Ecosystem Ecology 
BIOL351 , Aquatic Ecology 
BIOL352 , Populations and Communities 
BIOL354 , Environmental Toxicology 
BIOL355 , Biology of Human Aging 
BIOL359 , Evolution 1: Mechanisms 
BIOL360 , Evolution 2: Fossil Record 
BIOL361 , Biostatistics and Experimental Design 
BIOL365 , Methods in Bioinformatics 
BIOL370 , Comparative Animal Physiology: Environmental Aspects 
BIOL371 , Comparative Animal Physiology: Evolutionary Themes 
BIOL373 , Principles of Human Physiology 2 
BIOL373L , Human Physiology Laboratory 
BIOL376 , Cellular Neurophysiology 
BIOL382 , Computational Modelling  of Cellular Systems 
BIOL383 , Tropical Ecosystems 
BIOL403 , Developmental Biology and Embryology 
BIOL414 , Parasitology 
BIOL431 , Bacterial Molecular Genetics 
BIOL432 , Molecular Biotechnology 2 
BIOL433 , Plant Biotechnology 
BIOL434 , Human Molecular Genetics 
BIOL439 , Environmental and Natural Products Biochemistry 
BIOL441 , Advances in Immunology 
BIOL442 , Virology 
BIOL443 , Fermentation Biotechnology 
BIOL444 , Bacterial Pathogenesis 
BIOL447 , Environmental Microbiology 
BIOL448 , Microbial Physiology and Biochemistry 
BIOL449 , Public Health Microbiology 
BIOL450 , Marine Biology 
BIOL451 , Advanced Ecology and Evolution 
BIOL452 , Quantitative Fisheries Biology 
BIOL455 , Ecological Risk Assessment and Management 
BIOL456 , Population Biology 
BIOL457 , Analysis of Communities 
BIOL458 , Quantitative Ecology 
BIOL461 , Advanced Biostatistics 
BIOL462 , Ap plied Wetland Science 
BIOL465 , Structural Bioinformatics 
BIOL469 , Genomics 
BIOL470 , Methods of Aquatic Ecology 
BIOL472 , Cell Biology of Human Disease 
BIOL473 , Mammalian Reproduction 
BIOL475 , Current Topics in Microbiology 
BIOL476 , Systems Neuroscience: From Neurons to Behaviour 
BIOL477L , Techniques in Animal Physiology 
BIOL479 , Population Genetics and Evolution 
BIOL483 , Animal Cell Biotechnology 
BIOL484 , Advanced Eukaryotic Genetics 
BIOL485 , Conservation Biology 
BIOL487 , Computational Neuroscience 
BIOL489 , Arctic Ecology 
BIOL490A , Biology Field Course 1 
BIOL490B , Biology Field Course 2 
BIOL490C , Biology Field Course 3 
BIOL490D , Biology Field Course 4 
BIOL498A , Short Biology Field Course 1 
BIOL498B , Short Biology Field Course 2 
BIOL499A , Senior Honours Project 
BIOL499B , Senior Honours Project 
BME101 , Communications in Biomedical Engineering Written and Oral
BME101L , Communications in Biomedical Engineering Visualization
BME102 , Seminar 
BME121 , Digital Computation 
BME122 , Data Structures and Algorithms 
BME161 , Introduction to Biomedical Design 
BME162 , Human Factors in the Design of Biomedical and Health Systems 
BME181 , Physics 1: Statics 
BME182 , Physics 2: Dynamics 
BME186 , Chemistry Principles 
BME201 , Seminar 
BME202 , Seminar 
BME213 , Statistics and Experimental Design 
BME252 , Linear Systems and Signals 
BME261 ," Prototy p ing, Simulation and Design "
BME281 , Mechanics of Deformable Solids 
BME281L , Mechanics of Deformable Solids Laboratory 
BME282 , Materials Science for Biomedical Engineers 
BME284 , Physiological and Biological Systems 
BME284L , Physiology and Anatomy Laboratory 
BME285 , Engineering  Biology 
BME285L , Engineering Biology Laboratory 
BME294 ," Circuits, Instrumentation, and Measurements "
BME294L ," Circuits, Instrumentation, and Measurements Laboratory "
BME301 , Seminar 
BME302 , Seminar 
BME355 , Physiological Systems Modelling 
BME356 , Control Systems 
BME356L , Control Systems Laboratory 
BME361 , Biomedical Product Design and Regulation 
BME362 , Biomedical Engineering  Design Workshop 1 
BME364 , Engineering  Biomedical Economics 
BME381 , Biomedical Engineering  Ethics 
BME384 , Biomedical Transport: Biofluids and Mass Transfer 
BME386 , The Physics of Medical Imaging 
BME393 , Digital Systems 
BME393L , Digital Systems Laboratory 
BME399 , Directed Biomedical Research Project 
BME400 , Work Term Presentation
BME401 , Seminar 
BME402 , Seminar 
BME411 , Optimization and Numerical Methods 
BME461 , Biomedical Engineering Design Workshop 2 
BME462 , Biomedical Engineering Design Workshop 3 
BME499 , Elective Biomedical Research Project 
BME530 , The Healthcare System 
BME540 , Fundamentals in Neural and Rehabilitation Engineering 
BME544 , Biomedical Measurement and Signal Processing 
BME550 , Sports Engineering 
BME551 , Biomechanics of Human Movement 
BME552 , Computational Biomechanics 
BME553 , Introductory Mechanics of Biomedical and Biological Materials 
BME561 , Biomaterials and Tissue Engineering 
BME564 , Biocompatibility and Biomedical Design 
BME581 , Ultrasound in Medicine and Biology 
BME582 , Biomedical Optics 
BME587 , Special Topics in Biomedical Signals 
BME588 , Special Topics in Biomechanics 
BME589 , Special Topics in Biomedical Devices 
BME599 , Special Topics in Biomedical Engineering 
BLKST101 , Foundations of Black Studies 
BLKST102 ," Introduction to Black Arts, Culture, and Literature "
BLKST103 , Combating  Racisms 
BLKST201 , Taking  B(l )ack History 
BLKST202 , Black and Free 
BLKST203 , Introduction to Anti Racist Communication
BLKST210 ," Language, Life, and Literature in the Caribbean "
BLKST224 , Black Performance Studies 
BLKST230 , Black Feminisms 
BLKST240 , Black Diasporic Lives: 1740 1900
BLKST242 , The Emergence of Black Italy 
BLKST244 , Introduction to Black Canadian Writing 
BLKST302 , Strategic Management of Black Enterprises 
BLKST303 , Black Anti Racist Consulting  Practices
BLKST304 , Pan African Global Politics
BLKST308 , Writing  Anti Racism
BLKST309 , Blackness at the Intersections 
BLKST310 , Topics in Black Language and Linguistics 
BLKST317 , Afro Latin America
BLKST330 , Black Queer Studies 
BLKST340 , Contemporary African Literature and Film 
BLKST380 , Black Theatre in Practice 
BLKST399 , Special Topics in Black Studies 
BLKST410 , African American Rhetoric 
BLKST421 , The Black Atlantic 
BLKST499 , Black Entrepreneurial Enterprises 
BASE32 , Introduction to Skills & Strategies for University 
BASE34 , Introduction to Academic Writing  and Research Skills 
BASE36 , Introduction to Academic Speaking  and Communication Strategies 
BASE42 , Enhanced Skills & Strategies for University 
BASE44 , Extended Academic Writing  and Research Skills 
BASE46 , Effective Academic Speaking  and Communication Strategies 
BET100 , Foundations of Entrepreneurial Practice 
BET201 , Entrepreneurial Problem Solving 
BET210 , Business Technology and Infrastructure 
BET300 , Foundations of Venture Creation 
BET320 , Entrepreneurial Strategy 
BET340 , Essentials of Entrepreneurial Planning and Execution 
BET350 , Customer Experience Design 
BET360 , Design Frameworks for Social Ventures 
BET400 , Marketing  Foundations for Early Stage Ventures
BET405 , Digital Leadership and Transformation 
BET411 , Milestone Planning  and Execution 
BET412 , Advanced Topics in Entrepreneurship 
BET420 , Entrepreneurship for Social Impact 
BET430 , Sales Fundamentals 
BET450 , Leadership 
BET460 , Business Negotiations 
BET470 , Family Business 
BET580 , Consulting 
BUS111W , Understanding  the Business Environment (WLU) 
BUS121W , Critical Thinking  and Communication Skills (WLU) 
BUS127W , Introduction to Financial Accounting  (WLU) 
BUS208W , Interpersonal Communication (WLU) 
BUS231W , Business Law (WLU) 
BUS247W , Managerial Accounting  (WLU) 
BUS252W , Introduction to Marketing  Management (WLU) 
BUS283W , Financial Management 1 (WLU) 
BUS288W , Organizational Behaviour 1 (WLU) 
BUS311W , Entrepreneurship and New Ventures (WLU) 
BUS354W , Human Resources Management (WLU) 
BUS362W , Ap plied Marketing  (WLU) 
BUS375W , Operations Management (WLU) 
BUS381W , Strategic Management I (WLU) 
BUS393W , Financial Management 2 (WLU) 
BUS398W , Organizational Behaviour 2 (WLU) 
BUS412W , Services Marketing  Management (WLU) 
BUS432W , Consumer Behaviour (WLU) 
BUS435W , Supp ly Chain Management (WLU) 
BUS445W , Information Systems for Supp ly Chain Management (WLU) 
BUS452W , Marketing  Strategy (WLU) 
BUS455W , Transportation and Facilities Management (WLU) 
BUS462W , Business to
BUS472W , Marketing Communications (WLU) 
BUS481W , Strategic Management I (WLU) 
BUS482W , Sales Management (WLU) 
BUS485W , Environmental Management for Operations (WLU) 
BUS491W , Strategic Management II (WLU) 
CDNST101 , Introduction to Canadian Studies 
CDNST201 , The Indigenous Experience in Canada 
CDNST211 , Canada: Conflict and Unity 
CDNST212 , Narratives of Canadian Identity 
CDNST244 , Religion in Canada 
CHE100 , Chemical Engineering  Concepts 1 
CHE101 , Chemical Engineering  Concepts 2 
CHE102 , Chemistry for Engineers 
CHE120 , Computer Literacy and Progr amming  for Chemical Engineers 
CHE161 , Engineering  Biology 
CHE180 , Chemical Engineering  Design Studio 1 
CHE181 , Chemical Engineering  Design Studio 2 
CHE200 , Equilibrium Stage Operations 
CHE201 , Seminar 
CHE202 , Seminar 
CHE211 , Fluid Mechanics 
CHE220 , Process Data Analysis 
CHE225 , Strategies for Process Improvement and Product Development 
CHE230 , Physical Chemistry 1 
CHE231 , Physical Chemistry 2 
CHE241 , Materials Science and Engineering 
CHE290 , Chemical Engineering  Lab 1 
CHE291 , Chemical Engineering  Lab 2 
CHE298 , Directed Research Project 
CHE299 , Directed Research Project 
CHE301 , Seminar 
CHE302 , Seminar 
CHE312 , Mathematics of Heat and Mass Transfer 
CHE313 , Ap plications of Heat and Mass Transfer 
CHE314 , Chemical Reaction Engineering 
CHE322 , Numerical Methods for Process Analysis and Design 
CHE330 , Chemical Engineering Thermodynamics 
CHE331 , Electrochemical Engineering 
CHE341 , Introduction to Process Control 
CHE361 , Bioprocess Engineering 
CHE383 , Chemical Engineering  Design Workshop 
CHE390 , Chemical Engineering  Lab 3 
CHE398 , Directed Research Project 
CHE399 , Directed Research Project 
CHE401 , Seminar 
CHE402 , Seminar 
CHE425 , Strategies for Process Improvement and Product Development 
CHE450 , Technical Work Term Report
CHE480 , Process Analysis and Design 
CHE482 , Group Design Project 
CHE483 , Group Design Project and Symposium 
CHE490 , Chemical Engineering Lab 4 
CHE491 , Chemical Engineering Lab 5 
CHE498 , Directed Research Project 
CHE499 , Elective Research Project 
CHE500 , Special Topics in Chemical Engineering 
CHE514 , Fundamentals of Petroleum Production 
CHE516 , Energy Systems Engineering 
CHE520 , Process Modelling  and Simulation 
CHE521 , Process Optimization 
CHE522 , Advanced Process Dynamics and Control 
CHE524 , Process Control Laboratory 
CHE541 , Introduction to Polymer Science and Properties 
CHE543 , Polymer Production: Polymer Reaction Engineering 
CHE560 , Nanomedicine and Nanobiotechnology 
CHE561 , Biomaterials and Tissue Engineering 
CHE562 , Advanced Bioprocess Engineering 
CHE564 , Food Process Engineering 
CHE565 , Synthetic Biology Project Design 
CHE571 , Industrial Ecology 
CHE572 , Air Pollution Control 
CHE574 , Industrial Wastewater Pollution Control 
CHEM120 , General Chemistry 1 
CHEM120L , General Chemistry Laboratory 1 
CHEM121 , Physical and Chemical Properties of Matter 
CHEM121L , Chemical Reaction Laboratory 1 
CHEM123 , General Chemistry 2 
CHEM123L , General Chemistry Laboratory 2 
CHEM125 ," Chemical Reactions, Equilibria and Kinetics "
CHEM125L , Chemical Reaction Laboratory 2 
CHEM140 , Introduction to Scientific Calculations 
CHEM200 , Introduction to Laboratory Techniques 
CHEM209 , Introductory Spectroscop y and Structure 
CHEM212 , Structure and Bonding 
CHEM220 , Intro Analy tical Chemistry 
CHEM220L , Quantitative Chemical Analysis Laboratory 
CHEM221 , Multi Component Analysis
CHEM224L , Analy tical Instrumentation Laboratory 
CHEM233 , Fundamentals of Biochemistry 
CHEM233L , Fundamentals of Biochemistry Laboratory 
CHEM237 , Introductory Biochemistry 
CHEM237L , Introductory Biochemistry Laboratory 
CHEM240 , Mathematical Methods for Chemistry 
CHEM250L , Physical Chemistry Laboratory 1 
CHEM254 , Introductory Chemical Thermodynamics 
CHEM262 , Organic Chemistry for Engineering 
CHEM262L , Organic Chemistry Laboratory for Engineering Students 
CHEM264 , Organic Chemistry 1 
CHEM265 , Organic Chemistry 2 
CHEM265L , Organic Chemistry Laboratory 1 
CHEM266 , Basic Organic Chemistry 1 
CHEM266L , Organic Chemistry Laboratory 
CHEM267 , Basic Organic Chemistry 2 
CHEM267L , Organic Chemistry Laboratory 
CHEM310 , Transition Element Compounds and Inorganic Materials 
CHEM310L , Inorganic Chemistry Laboratory 2 
CHEM313 , Main Group and Solid State Chemistry 
CHEM313L , Inorganic Chemistry Laboratory 1 
CHEM323 , Analy tical Instrumentation 
CHEM331 , Fundamentals of Metabolism 1 
CHEM333 , Metabolism 1 
CHEM335L , Advanced Biochemistry Laboratory 
